
 0, 717.07, 29.6, 2256.5, 100.0, 77312, 111.302, 325, 21300090, (-0.11, -0.22, 9.52999), (-15.875, -9.5625, -12.0), (-0.00654499, 0.00218166, -0.00109083), 0, 0, 0
 1379, 943.66, 15.6, -0.4, 55.4, 11717, 84.518, 258, 16908971, (0.1, -0.26, 9.54), (-17.25, -8.25, -11.6875), (0.00109083, 0.00218166, -0.00545416), 0, 0, 0
 2724, 943.66, 15.6, -0.4, 55.5, 15249, 170.936, 365, 23921921, (-1.05, -1.27, 10.53), (-14.1875, -8.5, -15.0625), (0.589049, 0.294524, -0.0894482), 0, 0, 0
 4071, 943.64, 15.6, -0.2, 55.6, 19104, 184.318, 390, 25560419, (0.63, -4.9, 8.51), (-14.5625, 6.0, -41.5625), (0.0632682, -0.0119991, -0.177806), 0, 0, 0
 5426, 943.62, 15.6, -0.1, 55.8, 22958, 187.693, 378, 24774000, (3.15, -3.11, 8.59), (-15.5, 1.875, -41.875), (0.306524, 0.0250891, -0.14399), 0, 0, 0
 6770, 943.61, 15.7, 0.0, 56.0, 27008, 220.522, 584, 38274749, (2.03, 0.82, 8.8), (-8.375, -16.5625, -38.25), (0.166897, 0.164716, 0.0818124), 0, 0, 0
 8115, 943.61, 15.7, -0.0, 56.1, 31073, 104.135, 303, 19858240, (0.77, 5.57, 7.41), (1.0625, -33.5625, -21.75), (0.280344, -0.090539, -0.123264), 0, 0, 0
 1, 717.07, 29.6, 2256.5, 100.0, 29292, 3.13344, 20, 1310752, (4.1, 8.59, 0.94), (-33.1875, -24.375, -1.0625), (0.0654499, 0.374155, 0.34143), 0, 0, 0
 1348, 943.70, 8.5, -0.8, 59.4, 5837, 3.72749, 19, 1245219, (2.73, 8.97, 2.45), (-28.0, -23.1875, -16.5), (-0.427606, -0.52469, -0.0676315), 0, 0, 0
 2683, 943.70, 8.6, -0.8, 59.4, 8238, 3.17914, 18, 1179679, (3.41, 9.2, 2.38), (-20.5625, -24.375, -23.0625), (-0.177806, -0.86612, -0.118901), 0, 0, 0
 4030, 943.69, 8.6, -0.7, 59.4, 10690, 5.67283, 41, 2687037, (5.62, 7.73, 1.7), (-25.5625, -22.6875, -20.0), (-0.0239983, 0.213803, 0.233438), 0, 0, 0
 5372, 943.67, 8.6, -0.5, 59.4, 13078, 6.44314, 43, 2818115, (4.82, 6.56, 0.11), (-27.1875, -22.5625, -18.75), (0.15708, -0.153807, 0.142899), 0, 0, 0
